Building & Room ID,Building Name,Floor, Room size (SF),Department,Room Use Code,Actual Stations,Furniture Type,Space Category,Comments,Room Photo1,Room Photo2,Room Photo3,Room Photo4,Occupants,Function Comment
025-0 0110-00,Faculty Offices East,1,102.2,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Sklar, Jeffrey (CSM-STAT)",
025-0 0109-00,Faculty Offices East,1,102.2,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Rehnberg, Zoe (CSM-STAT)",
025-0 0108-A0,Faculty Offices East,1,41.89,115300-CSM-Statistics,780 - General Storage,0,00 Unapplicable,13 Other Academic Space,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200108-A0.Room%20Photo1.182940.jpg&appVersion=1.000082&signature=12c57046824f135ec4857485293121fec3babda532be9ff69b610839543a3ed6,,,,,
025-0 0108-00,Faculty Offices East,1,99.36,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Doi, Jimmy (CSM-STAT)",
025-0 0107-G0,Faculty Offices East,1,110.03,115300-CSM-Statistics,211 - Special Instruction,4,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-G0.Room%20Photo1.182740.jpg&appVersion=1.000082&signature=968aa770384c9e634e547ecca2fbbb9790821cdfba9bf9bfeaa58dc1cc528ba0,,,,,
025-0 0107-E0,Faculty Offices East,1,63.38,115300-CSM-Statistics,315 - Office Service,0,00 Unapplicable,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-E0.Room%20Photo1.182335.jpg&appVersion=1.000082&signature=ee6bcb9159c1bc62b9ababd65f6b8823e41eb9942bc219b4a26af183b46d3b2a,,,,,
025-0 0107-D0,Faculty Offices East,1,275.86,115300-CSM-Statistics,311 - Staff Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-D0.Room%20Photo1.182405.jpg&appVersion=1.000082&signature=e61f38bfdfb6028de6307fec36b5380af74db0804e7b3047391cedb72fc2d298,,,,"Montenegro, Marieke (CSM-STAT)",
025-0 0107-C0,Faculty Offices East,1,157.02,115300-CSM-Statistics,"312 - Admin Office - Dept Head, Lib, Dir, Assoc. Dean",1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-C0.Room%20Photo1.181913.jpg&appVersion=1.000082&signature=7841cb447efe65603b10ceccb160492e619bfea49fb353350024900b60608aec,,,,"Schaffner, Andrew (CSM-STAT)",
025-0 0107-B0,Faculty Offices East,1,207.28,115300-CSM-Statistics,220 - Self Instruction Computer Lab,8,10 Computer Wrkst,3 Open Laboratories,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-B0.Room%20Photo1.181820.jpg&appVersion=1.000082&signature=b9cfc123fe68932f8fe342d258b1fd498a54e32e13cc6c9c7e450cc52426f8b7,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-B0.Room%20Photo2.181820.jpg&appVersion=1.000082&signature=a68ad1a5fadea9e24361c7023847a598848c8b1f8dbf05ffc63dfc7e6e73d3e5,,,,
025-0 0107-A0,Faculty Offices East,1,96.14,115300-CSM-Statistics,315 - Office Service,0,00 Unapplicable,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-A0.Room%20Photo1.181609.jpg&appVersion=1.000082&signature=b0b301861fbad85e068e880a5647949a3b954af44da20f0a1d8362c6e551a8b5,,,,,
025-0 0106-00,Faculty Offices East,1,105.99,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Bodwin, Kelly (CSM-STAT)",
025-0 0105-00,Faculty Offices East,1,109.62,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Theobold, Allison (CSM-STAT)",
025-0 0104-00,Faculty Offices East,1,109.62,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Roy, Soma (CSM-STAT)",
025-0 0103-00,Faculty Offices East,1,109.62,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Robinson, Emily (CSM-STAT)",
025-0 0102-00,Faculty Offices East,1,109.62,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"McGaughey, Karen (CSM-STAT)",
025-0 0101-00,Faculty Offices East,1,101.49,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Carlton, Matt (CSM-STAT)",
025-0 0221-00,Faculty Offices East,2,105.15,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200221-00.Room%20Photo1.192352.jpg&appVersion=1.000082&signature=50b15b6b5c2f0e3c528b19ba16e5f8231ce4475744f8eec8dbb1aeecac4feea3,,,,,
025-0 0125-C0,Faculty Offices East,1,148.84,109400-CSM-Liberal Studies,"312 - Admin Office - Dept Head, Lib, Dir, Assoc. Dean",1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200125-C0.Room%20Photo1.184134.jpg&appVersion=1.000082&signature=52d8fc0b4175d7f9f84560e3cc2124b67427d087ceec1a90333bf2484183b3a8,,,,"Bush, Seth (CSM-LS)",
025-0 0125-D0,Faculty Offices East,1,290.44,109400-CSM-Liberal Studies,350 - Conference Room,12,01 Tbl/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200125-D0.Room%20Photo1.184238.jpg&appVersion=1.000082&signature=30db8336bc75fb67a033b9ac9b211304f0dc297254cf683a0eb068d85c8ef42d,,,,,
025-0 0107-F0,Faculty Offices East,1,224.67,115300-CSM-Statistics,350 - Conference Room,10,01 Tbl/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-F0.Room%20Photo1.182504.jpg&appVersion=1.000082&signature=a232174d984b0d8de4cfc2ce8f538905971e04b5231490c591282e28c88a1a51,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200107-F0.Room%20Photo2.182504.jpg&appVersion=1.000082&signature=2e6d1ca3eae8408bf9395b5854b1f0f10988bee50d36758c239dba73d3bd558b,,,,
025-0 0126-00,Faculty Offices East,1,105.99,117508-CSM-Ctr Sci-Math Teacher Educ,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200126-00.Room%20Photo1.184520.jpg&appVersion=1.000082&signature=68e0d887a1221f596429ce150642098ce437813258b23b6cc98db899ef49bbc3,,,,"Stauch, Nancy (CSM-LS)",
025-0 0214-00,Faculty Offices East,2,95.3,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Lund, Ulric (CSM-STAT)",
025-0 0213-00,Faculty Offices East,2,95.34,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Demirci, Sinem (CSM-STAT)",
025-0 0212-00,Faculty Offices East,2,90.1,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Schedler, Julia (CSM-STAT)",
025-0 0211-00,Faculty Offices East,2,100.68,115400-CSM-Mathematics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,Office for Eblen,,,,,,
025-0 0210-00,Faculty Offices East,2,95.44,115400-CSM-Mathematics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"O'Leary, Mason (CSM-MATH);Voltmer, Kathryn (CSM-MATH)",
025-0 0209-A0,Faculty Offices East,2,38.6,115400-CSM-Mathematics,780 - General Storage,0,00 Unapplicable,13 Other Academic Space,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200209-A0.Room%20Photo1.192732.jpg&appVersion=1.000082&signature=753df34d91cef98a15a9ec4f129b85061b52d21f77737d632311d75ba5794ae7,,,,,
025-0 0209-00,Faculty Offices East,2,98.67,115400-CSM-Mathematics,310 - Faculty Office,1,00 Unapplicable,5 Academic Unit Offices,,,,,,"Dabkowski, Montserrat (CSM-MATH)",
025-0 0208-F0,Faculty Offices East,2,117.6,115400-CSM-Mathematics,311 - Staff Office,1,04 Dsk/Ch,5 Academic Unit Offices,Sharded with Mape,,,,,"Hahlbeck, Clint (CSM-MATH)",
025-0 0208-E0,Faculty Offices East,2,152.25,115400-CSM-Mathematics,311 - Staff Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Thomas, Sabrina (CSM-MATH)",
025-0 0208-DC,Faculty Offices East,2,194.67,115400-CSM-Mathematics,"312 - Admin Office - Dept Head, Lib, Dir, Assoc. Dean",1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Richert, Benjamin (CSM-MATH)",
025-0 0208-DB,Faculty Offices East,2,119.61,115400-CSM-Mathematics,311 - Staff Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Sunata, Melissa (CSM-MATH)",
